AF499635.1	Coxsackievirus A1 (CVA-1)
AY421760.1	Coxsackievirus A2 (CV-A2)
AY421761.1	Coxsackievirus A3 (CV-A3)
AY421762.1	Coxsackievirus A4 (CV-A4)
AY421763.1	Coxsackievirus A5 (CV-A5)
AY421764.1	Coxsackievirus A6 (CV-A6)
AY421765.1	Coxsackievirus A7 (CV-A7)
AY421766.1	Coxsackievirus A8 (CV-A8)
D00627.1	Coxsackievirus A9 (CV-A9)
AY421767.1	Coxsackievirus A10 (CVA-10)
AF499636.1	Coxsackievirus A11 (CVA-11)
AY421768.1	Coxsackievirus A12 (CVA-12)
AF499637.1	Coxsackievirus A13 (CVA-13)
AY421769.1	Coxsackievirus A14 (CVA-14)
AF499638.1	Coxsackievirus A15 (CVA-15)
U05876.1	Coxsackievirus A16 (CVA-16)
AF499639.1	Coxsackievirus A17 (CVA-17)
AF499640.1	Coxsackievirus A18 (CVA-18)
AF499641.1	Coxsackievirus A19 (CVA-19)
AF499642.1	Coxsackievirus A20 (CVA-20)
AF546702.1	Coxsackievirus A21 (CVA-21)
AF499643.1	Coxsackievirus A22 (CVA-22)
EF026081.1	Coxsackievirus A24 (CVA-24)
M16560.1	Coxsackievirus B1 (CV-B1)
AF081485.1	Coxsackievirus B2 (CV-B2)
M88483.1	Coxsackievirus B3 (CV-B3)
X05690.1	Coxsackievirus B4 (CV-B4)
AF114383.1	Coxsackievirus B5 (CV-B5)
AF039205.1	Coxsackievirus B6 (CV-B6)
AF029859.2	Echovirus 1 (E1)
AY302545.1	Echovirus 2 (E2)
AY302553.1	Echovirus 3 (E3)
AY302557.1	Echovirus 4 (E4)
AF083069.1	Echovirus 5 (E5)
AY302558.1	Echovirus 6 (E6)
AY302559.1	Echovirus 7 (E7)
X84981.1	Echovirus 9 (E9)
X80059.1	Echovirus 11 (E11)
X79047.1	Echovirus 12 (E12)
AY302539.1	Echovirus 13 (E13)
AY302540.1	Echovirus 14 (E14)
AY302541.1	Echovirus 15 (E15)
AY302542.1	Echovirus 16 (E16)
AY302543.1	Echovirus 17 (E17)
AF317694.1	Echovirus 18 (E18)
AY302544.1	Echovirus 19 (E19)
AY302546.1	Echovirus 20 (E20)
AY302547.1	Echovirus 21 (E21)
AY302548.1	Echovirus 24 (E24)
AY302549.1	Echovirus 25 (E25)
AY302550.1	Echovirus 26 (E26)
AY302551.1	Echovirus 27 (E27)
AY302552.1	Echovirus 29 (E29)
AF162711.1	Echovirus 30 (E30)
AY302554.1	Echovirus 31 (E31)
AY302555.1	Echovirus 32 (E32)
AY302556.1	Echovirus 33 (E33)
U22521.1	Enterovirus A71 (EV-A71)
AY697458.1	Enterovirus A76 (EV-A76)
AY697459.1	Enterovirus A89 (EV-A89)
AY697460.1	Enterovirus A90 (EV-A90)
AY697461.1	Enterovirus A91 (EV-A91)
EF667344.1	Enterovirus A92 (EV-A92)
KU355876.1	Enterovirus A114 (EV-A114)
KC787153.1	Enterovirus A119 (EV-A119)
LK021688.1	Enterovirus A120 (EV-A120)
KU355877.1	Enterovirus A121 (EV-A121)
AF326754.2	Enterovirus A122 (EV-A122)
AF326761.2	Enterovirus A123 (EV-A123)
AF326764.2	Enterovirus A124 (EV-A124)
AF326750.2	Enterovirus A125 (EV-A125)
LC038188.1	Enterovirus AN12  (EV-AN12)
AY302560.1	Enterovirus B69 (EV-B69)
AF241359.1	Enterovirus B73 (EV-B73)
AY556057.1	Enterovirus B74 (EV-B74)
AY556070.1	Enterovirus B75 (EV-B75)
MH118029.1	Enterovirus B76 (EV-B76)
AJ493062.2	Enterovirus B77 (EV-B77)
AY208120.2	Enterovirus B78 (EV-B78)
AY843297.1	Enterovirus B79 (EV-B79)
AY843298.1	Enterovirus B80 (EV-B80)
AY843299.1	Enterovirus B81 (EV-B81)
