"accession","length","isolate","isolation_source","host","organism","genotype","country_original","country","country_code","collection_date_original","collection_date"
"3GPQ_F","3","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"3GPQ_E","3","NA","NA","NA","synthetic construct","NA","NA",NA,NA,"NA",NA
"KF283987","11712","S7","NA","Homo sapiens","Chikungunya virus","NA","Comoros: Grande Island","Comoros","COM","2005","2005-XX-XX"
"EU037962","11805","Wuerzburg","NA","NA","Chikungunya virus Wuerzburg 1","NA","Mauritius","Mauritius","MUS","NA",NA
"PF133171","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133170","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133169","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133168","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133167","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133166","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133165","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133164","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133163","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133162","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133161","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"PF133160","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"OF451348","11494","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"OF451347","11494","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"7Y38_Z","3","NA","NA","NA","in vitro transcription vector pT7-TP(deltai)","NA","NA",NA,NA,"NA",NA
"LY978949","11674","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY803334","1368","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY803326","240","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY803333","1224","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY803325","177","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MT526807","11797","KLF_3200","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","26-Jan-2016","2016-01-26"
"MT526806","11790","KLF_4908","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","03-Apr-2017","2017-04-03"
"MT526805","11785","KLF_5188","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","19-Jul-2017","2017-07-19"
"MT526804","11787","KLF_5514","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","05-Dec-2017","2017-12-05"
"MT526803","11788","KLF_67114","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","23-May-2014","2014-05-23"
"MT526802","11789","KLF_69219","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","20-Aug-2014","2014-08-20"
"MT526801","11792","KLF_75443","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","02-Sep-2015","2015-09-02"
"MT526800","11831","KLF_84548","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","13-Dec-2017","2017-12-13"
"MT526799","11788","KLF_84717","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","03-Jan-2018","2018-01-03"
"MT526798","11802","KLF_84807","whole blood in EDTA","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","12-Jan-2018","2018-01-12"
"MT526797","11343","KLF_148987","cerebrospinal fluid","Homo sapiens","Chikungunya virus","ECSA","Kenya: Kilifi","Kenya","KEN","15-May-2018","2018-05-15"
"MT526796","10725","MSA_057","Vero cells culture supernatant","Homo sapiens","Chikungunya virus","ECSA","Kenya: Mombasa","Kenya","KEN","15-Jan-2018","2018-01-15"
"EU441883","1199","SG EHIss622 Y2008","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Jan-2008","2008-01-XX"
"EU441882","1134","SG EHIds67 Y2008","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","Jan-2008","2008-01-XX"
"MK370033","11812","MH_Pune33","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","2016","2016-XX-XX"
"MK370032","11803","DL2","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","2016","2016-XX-XX"
"MK370031","11801","MH_Nasik275","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","2015","2015-XX-XX"
"MK370030","11813","KA_Blore5310","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","2015","2015-XX-XX"
"MK286899","11748","MH_Nasik1738929","serum sample","Homo sapiens","Chikungunya virus","NA","India","India","IND","2017","2017-XX-XX"
"MK286898","11711","MH_Pune1841410","serum sample","Homo sapiens","Chikungunya virus","NA","India","India","IND","2018","2018-XX-XX"
"MK286897","11682","MH_Pune1841379","serum sample","Homo sapiens","Chikungunya virus","NA","India","India","IND","2018","2018-XX-XX"
"MK286896","15987","MH_Pune1732664","serum sample","Homo sapiens","Chikungunya virus","NA","India","India","IND","2017","2017-XX-XX"
"MK286895","11750","MH_Ahmednagar145898","serum sample","Homo sapiens","Chikungunya virus","NA","India","India","IND","2014","2014-XX-XX"
"MK286894","11237","MH_Pune1732672","serum sample","Homo sapiens","Chikungunya virus","NA","India","India","IND","2017","2017-XX-XX"
"MK286893","11237","MH_Pune1732191","serum sample","Homo sapiens","Chikungunya virus","NA","India","India","IND","2017","2017-XX-XX"
"LY575877","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575876","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575875","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575874","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575873","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575872","1269","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575871","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575870","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575869","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575868","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575867","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"LY575866","1317","NA","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"MK028840","11918","Chikungunya virus/H.sapiens-tc/Thailand/1962/AF15561","blood","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","1962","1962-XX-XX"
"MK028839","12081","Chikungunya virus/H.sapiens-tc/USA/1986/181-Clone 25","NA","NA","Chikungunya virus","NA","USA","USA","USA","1986","1986-XX-XX"
"MK028838","11824","Chikungunya virus/H.sapiens-tc/Sri Lanka/2006/SL15649","blood","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","2006","2006-XX-XX"
"MK028837","12197","Chikungunya virus/A.furcifer-wt/Senegal/1983/37997","NA","Aedes furcifer","Chikungunya virus","NA","Senegal","Senegal","SEN","1983","1983-XX-XX"
"MK028836","11839","Chikungunya virus/A.aegypti-wt/Comoros/2005/Com125","NA","Aedes aegypti","Chikungunya virus","NA","Comoros","Comoros","COM","2005","2005-XX-XX"
"LT964970","487","ISS Ae.albopictus pool Guardavalle Italy 2017","mosquito Aedes albopictus","mosquito","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-09-26","2017-09-26"
"LT964969","487","ISS 951/Anzio serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Lazio region, Anzio","Italy","ITA","2017-09-13","2017-09-13"
"LT964968","487","ISS 951/Anzio plasma Italy 2017","human plasma","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Lazio region, Anzio","Italy","ITA","2017-09-13","2017-09-13"
"LT964967","487","ISS 1028/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-09","2017-10-09"
"LT964966","487","ISS 1040/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964965","487","ISS 1044/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964964","487","ISS 978/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964963","487","ISS 988/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
"LT964962","487","ISS 993/Guardavalle serum Italy 2017","human serum","Homo sapiens","Chikungunya virus","ECSA genotype","Italy:Calabria region, Guardavalle","Italy","ITA","2017-10-02","2017-10-02"
